출처,포함여부,분류,서비스,이슈,가격언급,제목,근거,URL
DC인사이드,제외,분석 제외,,,,결혼 자체가 매우 구시대적 산물임,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=79179
DC인사이드,제외,분석 제외,,,,결혼 적령기 라는말은 가스라이팅임.,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=76999
DC인사이드,제외,분석 제외,"웨딩홀, 스드메·패키지",,,결혼 준비 체크리스트에 이거 추가해라,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=76174
DC인사이드,제외,분석 제외,,,,결혼 할려면 무족건 안정적인 직장이 좋겠죠..,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=74261
DC인사이드,제외,분석 제외,,,,결혼때문에 이직고민이에요,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=75012
DC인사이드,제외,분석 제외,"스튜디오·촬영, 드레스",,3000만원,결혼식 미개한 병신문화 언제 사라지냐,결혼식 미개한 병신문화 언제 사라지냐 결혼식 미개한 병신문화 언제 사라지냐 모바일에서 작성 ㅇㅇ (110.9) 2026.04.09 11:11:07 스크랩 조회 292 추천 7 댓글 12 고작 15~20분 행사에 시발 요즘 물가 생각하면 3000만원 기본임 3000도 거의 제일 작게 하는 케이스 다 똑같은 드레스 웨딩촬영 장소 똑같은 진행…,https://gall.dcinside.com/board/view/?id=wedding&no=73587
DC인사이드,제외,분석 제외,스드메·패키지,,,결혼식 성대하게 하려는 여자는 별로인듯,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=70174
DC인사이드,제외,분석 제외,"웨딩홀, 스드메·패키지",,,결혼식 하루에 3-4천 태우는 거,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=72908
DC인사이드,제외,분석 제외,드레스,,,결혼을 준비중인 예비부부 대상 설문조사 부탁드려봅니다 !,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71759
DC인사이드,제외,분석 제외,,,,결혼하고싶습니다,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71508
DC인사이드,제외,분석 제외,,,,결혼하고싶습니다,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71367
DC인사이드,제외,분석 제외,,,,계약햇다,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=78539
DC인사이드,제외,분석 제외,,,,곧 결혼 예정인데 여자친구 맞벌이 어떻게 시키냐,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=77535
DC인사이드,제외,분석 제외,,계약·취소·환불,,근데 30넘은 여자들 보지가 검은색이면 환불되나?,근데 30넘은 여자들 보지가 검은색이면 환불되나? / 근데 30넘은 여자들 보지가 검은색이면 환불되나?,https://gall.dcinside.com/board/view/?id=wedding&no=72799
DC인사이드,제외,분석 제외,,,,근데 난 한녀들이 남자 돈 보고 결혼하겠다는거 이해 되는데?ㅋㅋㅋ,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=71263
DC인사이드,제외,분석 제외,,,,끝내 노처녀 굴레에 빠진 한국 여자들. 비혼 선언 전부 착각?,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=79038
DC인사이드,제외,분석 제외,,,,나 회사에 있는데 집안일은 알아서 할 수 없나 ㆍㆍㆍ,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=75578
DC인사이드,제외,분석 제외,메이크업,,,난 예쁜 여자 만나기 부담스러움,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73123
DC인사이드,제외,분석 제외,메이크업,,,남성 메이크업 초보자는 이만큼 사면 좋다.,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73928
DC인사이드,제외,분석 제외,"메이크업, 예물·혼수",,,남자 부케 받기 질문,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=70270
DC인사이드,제외,분석 제외,,,,"내 동생 얘기인데 이거 말려야대냐, 아님 걍 냅둬야대냐",구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73899
DC인사이드,제외,분석 제외,,가격·견적 정보,,내 여동생 이거 미친거맞지?,인테리어 싹다 할거라고함 견적 1천2백잡고있음 지금 얘 하는일이 백화점 판매직인데 계약직인지 정규직인지 월급이 얼만지는 모름.,https://gall.dcinside.com/board/view/?id=wedding&no=74212
DC인사이드,제외,분석 제외,"웨딩홀, 메이크업",,,님들 친척들 축의금 부모님이 가져감?,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73526
DC인사이드,제외,분석 제외,,,100만원,다들 결혼후에 돈 어떻게 함?,"매달 약 100만원씩 상환중. / 저축 : 월 100만원 qqq or snp500에 투자중 와이프(진) 월급 300이상 (교사라서 성과급, 수당 에따라 편차가 있음 평균내면 320~330정도 일듯) 차 : 없음, 지방학교라 조만간 중고차를 구매예정 집 : 내집에서 같이 살고있음 빚 : 없음 취미 : 게임, 요리 스팀에서 콘솔게임사서하는편,…",https://gall.dcinside.com/board/view/?id=wedding&no=72590
DC인사이드,제외,분석 제외,,,,대표가 키크고 잘생김,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71642
DC인사이드,제외,분석 제외,,,,도축제도는 그대로 두고 혼전계약서를 인정하는 식으로,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=78412
DC인사이드,제외,분석 제외,,,,맘편하게 결혼포기하는게 나을까요,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=72554
DC인사이드,제외,분석 제외,,,,미혼남도 부동산계약 할 수 있는데 ㅋㅋㅋ,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=78432
DC인사이드,제외,분석 제외,,,,부모 죽으면 편의점이나 운영하겠냐 ㅋㅋㅋㅋㅋ,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73451
DC인사이드,제외,분석 제외,,가격·견적 정보,,부정선거는 맞는데 전한길 씨 방법은 아니예요~,전남 광주 행정통합하는 핑계로 새로운 주소 체계로 바꿀 것이라고 한다 ☞ 전남 광주 지역은 광역시가 될 견적이 안 나온다.,https://gall.dcinside.com/board/view/?id=wedding&no=72250
DC인사이드,제외,분석 제외,웨딩홀,,,브라이튼하우스 결혼식 식장 계약 후기,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=75257
DC인사이드,제외,분석 제외,드레스,,,"비처녀들은 양심있으면 결혼식,드레스 드립 ㄴㄴ",웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=74005
DC인사이드,제외,분석 제외,드레스,,,비처녀들은 왜 웨딩드레스 입으려함?,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=72783
DC인사이드,제외,분석 제외,,,,비혼주의자가 바라보는 결혼,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=72484
DC인사이드,제외,분석 제외,,,,서른넘으면 남자만나기힘든건 당연한거지,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=79165
DC인사이드,제외,분석 제외,,,,설거지 해준다는데도 기싸움 거는 년들은 뭐임?,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=78349
